"","Job_Title","Company","Location","Links"
"105","Chief Data Scientist","Seek Now","Atlanta, GA","/rc/clk?jk=e8425883dc431930&fccid=f3318349d9a0a91f&vjs=3"
"106","Data/ETL Test Lead","Capgemini","Atlanta, GA 30328","/rc/clk?jk=5f2b84e41fde0fd2&fccid=105ecfd0283f415f&vjs=3"
"107","Lead Data Scientist","Honeywell","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=43ec3848f274e8b2&fccid=50208b5bf45ee3b8&vjs=3"
"108","Senior Data Analyst","Bitcoin Depot","Atlanta, GA","/rc/clk?jk=ba62e0cdfd25f24e&fccid=fea8b2b81be27766&vjs=3"
"109","Lead Data Analyst / Data Scientist / Analytics / BI Consultant","CEDENT","Atlanta, GA","/rc/clk?jk=62725598bdbf9652&fccid=2ecf4575019bf07a&vjs=3"
"110","Sr. Data Scientist - Utility Analytics","Koch Engineered Solutions","Atlanta, GA 30303 (Five Points area)","/rc/clk?jk=130fb69666ab38f5&fccid=735667c8ff2f1a48&vjs=3"
"111","Senior Manager Data Science - Advanced Analytics","Norfolk Southern Corp","Atlanta, GA 30318","/rc/clk?jk=f537e13ab58d8217&fccid=2fc6cbacc7119b63&vjs=3"
"112","Data Engineer","Codoxo","Atlanta, GA","/rc/clk?jk=d66cf1b83b0e3666&fccid=88df7112804301b7&vjs=3"
"113","Full Stack Developer, Decision Science","Delta","Atlanta, GA","/rc/clk?jk=84d867ac52747876&fccid=3f721eb1d31080a6&vjs=3"
"114","Senior Data Analyst","Agile","Atlanta, GA 30328","/rc/clk?jk=5ac029202b85da80&fccid=72d69a7225c5a959&vjs=3"
"115","Lead Data Scientist","Novelis Corporate HQ","Atlanta, GA 30326 (North Buckhead area)","/rc/clk?jk=fa3c2a1bc006b3c6&fccid=935cee81b824e61e&vjs=3"
"116","Python/SQL Data Engineer, Consultant - Applied Artificial Intelligence","Deloitte","Atlanta, GA 30303 (Downtown area)","/rc/clk?jk=7a33f3d971b668bb&fccid=9e215d88a6b33622&vjs=3"
"117","Senior Data Engineer","Capgemini","Atlanta, GA 30328","/rc/clk?jk=62a308c002f638b6&fccid=105ecfd0283f415f&vjs=3"
"118","Data Analyst III - Fraud Analytics","Cox Communications Inc","Atlanta, GA 30328","/rc/clk?jk=5317c544b6094717&fccid=c7e6b037b4d816c9&vjs=3"
"119","Data Engineer","Verizon","Alpharetta, GA 30022","/rc/clk?jk=be20511805d91655&fccid=f7029f63fe5c906e&vjs=3"
